"","time","mag","x","y","YR","MO","DAY","HR","MN","SEC"
"72",142.098288592593,3.05,12.702167,41.811167,1981,5,22,11,50,48.05
"73",145.413775703704,3.0860552,12.279667,42.942,1981,5,25,19,25,6.68
"74",145.999042907407,3.65,10.578333,44.807,1981,5,26,9,27,53.36
"75",150.47544437037,3.1,15.869167,40.544,1981,5,30,20,53,54.8
"76",150.504554166667,3.35,9.5755,44.561,1981,5,30,21,35,49.48
"77",151.004647759259,3.1,15.648167,41.746333,1981,5,31,9,35,57.5
"78",153.245065425926,3.15,12.6845,41.711,1981,6,2,15,22,9.41
"79",158.146999296296,4.927,12.47,37.67,1981,6,7,13,0,56.6
"80",160.934014185185,3.084,13.262667,46.458167,1981,6,10,7,54,14
"81",170.307093888889,4,16.4995,38.307667,1981,6,19,16,51,28.52
"82",171.068958314815,3.05,12.702167,41.811167,1981,6,20,11,8,33.32
"83",172.010116722222,3.75,12.8705,41.8215,1981,6,21,9,43,49.97
"84",173.208439481481,3.15,12.624,41.674,1981,6,22,14,29,24
"85",178.866102518519,3.2753681,14.128667,45.713167,1981,6,28,6,16,26.28
"86",178.967804907407,3.5533107,12.835833,46.4905,1981,6,28,8,42,53.15
"87",181.806845259259,3.122178,13.445167,46.236333,1981,7,1,4,51,6.27
"88",187.006580055556,3.25,11.069167,44.166,1981,7,6,9,38,43
"89",191.279335685185,3.65,11.213667,44.085833,1981,7,10,16,11,29.91
"90",199.221755666667,3.1969,12.676,43.0025,1981,7,18,14,48,34.05
"91",200.18909462963,3.084,12.602,42.994833,1981,7,19,14,1,32.78
"92",200.485287759259,3.084,12.535167,43.0225,1981,7,19,21,8,3.36
"93",201.882487833333,3.1,15.723,42.056333,1981,7,21,6,40,1.69
"94",201.942870777778,3,11.129,44.05,1981,7,21,8,6,58.98
"95",205.237316222222,3.0643325,12.6355,42.960167,1981,7,24,15,10,58.39
"96",206.452803333333,3.15,10.634,44.581333,1981,7,25,20,21,16.52
"97",208.965558962963,3,15.066,40.456333,1981,7,28,8,39,38.27
"98",209.010872462963,3.4,15.549,40.973167,1981,7,28,9,44,53.22
"99",212.836070222222,3.05,12.584167,41.787,1981,8,1,5,33,10.13
"100",213.526499462963,3,15.487,40.655667,1981,8,1,22,7,23.99
"101",222.564752777778,3.5737808,13.1895,42.559,1981,8,10,23,2,28.93
"102",222.711015351852,3.1442111,13.245333,42.580667,1981,8,11,2,33,5.54
